budapest,VIII,kerulet,horanszky,utca,40m2,2,szoba,313607,230 000
budapest,XIV,kerulet,zsalya,utca,46m2,2,szoba,733465,170 000
budapest,III,kerulet,folyamor,utca,61m2,2,szoba,735118,300 000
budapest,XIV,kerulet,istvanmezei,ut,45m2,2,szoba,733868,240 000
budapest,XIII,kerulet,hegedus,gyula,utca,118m2,3,szoba,734642,400 000
budapest,V,kerulet,hercegprimas,utca,46m2,2,szoba,535305,280 000
budapest,VIII,kerulet,baross,utca,32m2,1,szoba,464637,155 000
budapest,XIII,kerulet,lehel,utca,53m2,2,szoba,733453,290 000
budapest,VI,kerulet,sziv,utca,108m2,4,szoba,609304,442 000
budapest,VI,kerulet,szekely,mihaly,utca,74m2,3,szoba,566930,400 000
budapest,VI,kerulet,szekely,bertalan,utca,90m2,3,szoba,614491,327 000
budapest,VIII,kerulet,rakoczi,ut,110m2,4,szoba,639223,442 000
budapest,XIV,kerulet,kerepesi,ut,38m2,2,szoba,726937,190 000
budapest,I,kerulet,varfok,utca,71m2,2,szoba,735112,340 000
budapest,XIV,kerulet,telepes,utca,,48m2,2,szoba,735014,225 000
budapest,XIII,kerulet,tahi,utca,39m2,1,szoba,732219,185 000
budapest,XI,kerulet,fehervari,ut,50m2,2,szoba,735101,210 000
budapest,XI,kerulet,raho,utca,75m2,3,szoba,733796,399 000
budapest,VIII,kerulet,baross,utca,79m2,3,szoba,735064,250 000
budapest,II,kerulet,varsanyi,udvar,95m2,3,szoba,731850,952 000
budapest,XI,kerulet,bertalan,lajos,utca,70m2,3,szoba,733687,230 000
budapest,I,kerulet,lovas,ut,82m2,3,szoba,729890,500 000
budapest,VI,kerulet,szondi,utca,61m2,2,szoba,734619,260 000
budapest,IX,kerulet,balazs,bela,utca,62m2,3,szoba,734902,270 000
budapest,XI,kerulet,sasad,,60m2,2,szoba,734845,245 000
budapest,XI,kerulet,szent,kristof,utca,58m2,3,szoba,734873,299 000
budapest,XI,kerulet,temesvar,utca,49m2,2,szoba,713441,200 000
budapest,XIV,kerulet,dorozsmai,utca,100m2,4,szoba,683951,300 000
budapest,VI,kerulet,andrassy,ut,60m2,2,szoba,715635,267 000
budapest,XII,kerulet,abos,utca,260m2,7,szoba,728675,1 700 000
budapest,VII,kerulet,nefelejcs,utca,85m2,3,szoba,735005,550 000
budapest,II,kerulet,frankel,leo,ut,68m2,3,szoba,533300,250 000
budapest,VIII,kerulet,kun,utca,40m2,1,szoba,619569,200 000
budapest,XIII,kerulet,hegedus,gy,u,,85m2,4,szoba,734974,250 000
budapest,XII,kerulet,csorsz,utca,47m2,2,szoba,734981,195 000
budapest,VI,kerulet,eotvos,utca,37m2,2,szoba,734977,170 000
budapest,VIII,kerulet,bacso,bela,utca,32m2,1,szoba,734972,190 000
budapest,XII,kerulet,kutvolgyi,ut,59m2,3,szoba,734966,330 000
budapest,VI,kerulet,terez,korut,44m2,1,szoba,734965,220 000
budapest,V,kerulet,petofi,sandor,utca,191m2,5,szoba,628929,1 538 000
budapest,XIII,kerulet,pozsonyi,ut,124m2,4,szoba,714384,769 000
budapest,VII,kerulet,wesselenyi,utca,84m2,2,szoba,734367,481 000
budapest,XIII,kerulet,hegedus,gyula,utca,68m2,3,szoba,734369,365 000
budapest,IX,kerulet,ulloi,ut,49m2,2,szoba,712635,210 000
budapest,VI,kerulet,dozsa,gyorgy,ut,30m2,1,szoba,734022,195 000
budapest,IX,kerulet,marton,,53m2,3,szoba,734938,250 000
budapest,VI,kerulet,eotvos,utca,95m2,3,szoba,731859,490 000
budapest,XIII,kerulet,tahi,utca,39m2,1,szoba,733043,195 000
budapest,XIII,kerulet,goncol,,35m2,2,szoba,730992,180 000
budapest,XI,kerulet,villanyi,ut,27m2,1,szoba,734035,150 000
budapest,V,kerulet,hercegprimas,utca,47m2,2,szoba,732762,280 000
budapest,VII,kerulet,muranyi,utca,37m2,2,szoba,621084,159 000
budapest,XII,kerulet,fodor,utca,54m2,2,szoba,734786,210 000
budapest,XVIII,kerulet,jozsef,attila,utca,85m2,2,szoba,730722,200 000
budapest,III,kerulet,pacsirtamezo,utca,33m2,1,szoba,614118,130 000
budapest,XIV,kerulet,cinkotai,ut,94m2,4,szoba,734636,490 000
budapest,IX,kerulet,viola,utca,64m2,3,szoba,734556,310 000
budapest,III,kerulet,szentendrei,ut,,48m2,2,szoba,732615,220 000
budapest,VI,kerulet,nagymezo,,92m2,3,szoba,734577,540 000
budapest,VIII,kerulet,dobozi,ut,,69m2,2,szoba,719869,180 000
budapest,V,kerulet,vadasz,utca,50m2,2,szoba,734529,269 000
budapest,VIII,kerulet,baross,utca,62m2,2,szoba,734544,220 000
budapest,XIII,kerulet,robert,karoly,korut,31m2,1,szoba,735273,190 000
budapest,XIV,kerulet,padlizsan,utca,39m2,2,szoba,735271,170 000
budapest,IV,kerulet,szekesdulo,utca,23m2,1,szoba,735270,135 000
budapest,XIV,kerulet,tihany,utca,46m2,2,szoba,735268,180 000
budapest,XIII,kerulet,mohacs,utca,38m2,1,szoba,735262,160 000
